place.name,place.full_name,user.time_zone,user.location,username,Text,Location Target (Physical) (general),Location Target (Physical) (specific),Location Target (Physical) (unique),Business Target (Physical) (general),Business Target (Physical) (specific),Business Target (Physical) (unique),sentiment_scores
Gold Coast,"Gold Coast, Queensland",Eastern Time (US & Canada),"Tours / Brisbane, Australia",STL,Frenchies in #SurfersParadise ! #goldcoast #underground #backpacking #aupairs #rasberryyyy @‚Ä¶ https://t.co/Z6WgScobyb,Gold Coast,Suburb,Surfer Paradise,Accomodation,Backpackers,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, QLD, Australia",Mark Hindle CFRE,Autumn at #BurleighHeads. Who needs #summer https://t.co/2DfefZnQRF,Gold Coast,Suburb,Burleigh Heads,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Australia,Epic Skateboards,Dominator 900 @ Surfers Paradise Beach https://t.co/bzGpo7WVEH,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,Terengganu,edaayob,"Hooyuuuuuu (@ Warner Bros. @MovieWorldAus in Oxenford, QLD) https://t.co/VtUUNQLpfh",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",Karachi,Brisbane,Faiza Anam Khattak,"Muqeet Ahmad In Movie Wolrd Gold Coast Enjoying Ride on Daffy Duck ?üò??üëå?üèª
#MovieWorld #GoldCoast‚Ä¶ https://t.co/5M96X21GSK",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0.5267
Gold Coast,"Gold Coast, Queensland",Hong Kong,,LukeLandrigan,"After goin wild at wet n' wild @ Gold Coast, Queensland https://t.co/kOLsZoE22w",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Queensland",Annette Jones,"What a superb sunset tonight on the Gold Coast! @ Gold Coast, Queensland https://t.co/FnEKc0PHia",Gold Coast,,,,,,0.3294
Gold Coast,"Gold Coast, Queensland",Brisbane,,Purtz,Drinking a Daisy Duke by @burleighbrewing @ Burleigh Brewing Co ‚Äî https://t.co/HmXyiOjfXd,Gold Coast,Suburb,Burleigh Heads,Food and Beverage,"Bars, pubs and clubs",Bar,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast,  Qld,  Australia",Mark Rowbotham,My Arvo @ Burleigh Heads Beach https://t.co/vLJhHN7HjH,Gold Coast,Suburb,Burleigh Heads,,,,0
Gold Coast,"Gold Coast, Queensland",Sydney,"sydney, australia ",Lucy Rogers,Paradise found ?üôå?üèº‚òÄÔ∏è?üèñ‚úàÔ∏è?üòç #birthdaygetaway #coolangattabeach #greenmount #qld #blessed #australia‚Ä¶ https://t.co/O9q0h9T3Ym,Gold Coast,Suburb,Coolangatta,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Melbourne,Dunkeld ,Kylie Schurmann,"A fine farewell #ate2016. Thank you visitgoldcoast @queensland tourismaustralia1 @ The Garden,‚Ä¶ https://t.co/CSobMXXNPj",Gold Coast,Suburb,Broadbeach,,,,0.2818
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),"Everywhere, USA",molly_king,"Oh my goodness, Aussies are the best! So many great dances over here, and the advanced Jack and‚Ä¶ https://t.co/b0LdJJFK6r",,,,,,,0.7831
Gold Coast,"Gold Coast, Queensland",,Surfers Paradise,Pat Fontana,"#surfersparadise #goldcoastlife #gliterstrip @ Gold Coast, Queensland https://t.co/4bziptwJuq",Gold Coast,Suburb,Surfer Paradise,Tourism brand,Glitter Strip,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,The Tardis,The One & Only!,#commonwealthgames village being built and then my fave road... What a sight for a #Friday‚Ä¶ https://t.co/DL8F4kV8ey,,,commonwealth games village,Recreation,Sport,Commonwealth Games,0.4404
Gold Coast,"Gold Coast, Queensland",Osaka,"Gold Coast, Australia",?Åó?ÇÖ?Çì‚òÜ,"Triple 9 (@ Reading Cinemas - @readingau in Biggera Waters, QLD) https://t.co/tm8iqfhOhB",Gold Coast,Suburb,Biggera Waters,Entertainment,Cinemas,Reading Cinemas,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Brisbane, Australia",Nicholas Burge,Flying high this morning with @sbxr at @iFLYtunnel @RiverCityLabs #indoorskydive #goldcoast #tandalife https://t.co/55ma30aO5J,Gold Coast,Suburb,Surfer Paradise,Recreation,Indoor sky diving,iFLY Gold Coast,0
Gold Coast,"Gold Coast, Queensland",Beijing,Gotham City,Andrea Chu,I ‚ù§Ô∏è Aussies @ Surfers Paradise Beach https://t.co/Llv0sPiyPY,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",,"Gold Coast, Queensland",?Å¥?Å£?Å¥‚òÜ,"Pancake on the rocks?üç??üç∞?üçπ
#pancakes #pancakeontherocks #australia #goldcoast #surfers‚Ä¶ https://t.co/14sqtqbrj4",Gold Coast,Suburb,Surfer Paradise,Food and Beverage,Restaurant,Pancake on the Rocks,0
Gold Coast,"Gold Coast, Queensland",Santiago,Santiago - Chile,Karen Riquelme,Our first BBQ ?üëå?üå??üíï #Australia #Beach #Asao @ Surfers Paradise Beach https://t.co/PksovECCft,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Queensland",Janelle Spence,Beautiful walk on the #GoldCoast with #HarleyDog #qld #beautiful #sun #broadwater #love #luckycountry #aussie https://t.co/0c409ObxMm,Gold Coast,,,Recreation,Walk,,0.5994
Gold Coast,"Gold Coast, Queensland",Singapore,Singapore,Kady,"OOL // Into the woods

#HCDKdownunder #austrippin #aiqing #throwback‚Ä¶ https://t.co/sJTRoaSMe0",Gold Coast,Suburb,Bilinga,Transport,Air transport,Airport,0
Gold Coast,"Gold Coast, Queensland",Alaska,"Makati City, Philippines",Sea Princess,Time for some water fun at dreamworldau #whitewater #goldcoast #Australia @ WhiteWater World‚Ä¶ https://t.co/W40plkbD0F,Gold Coast,Suburb,Coomera,Attraction,Manmade,Theme Park,0.5106
Gold Coast,"Gold Coast, Queensland",Singapore,Singapore,Joy Gabriella Molina,Smell the sea and feel the sky. Let your soul and spirit fly ‚ú® #joytripping @ Surfers Paradise‚Ä¶ https://t.co/USzVln4waj,Gold Coast,Suburb,Surfer Paradise,,,,0.089
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Queensland",Lesley Morgan,Off to @CbusStadium #LetsRoastSomeChooks #GoTitans #NRLTitansRoosters ?üíô?üíõ,Gold Coast,Suburb,Robina,Recreation,Sports and events,NRL,0
Gold Coast,"Gold Coast, Queensland",,,Ale Gal?°n,"I thought of you and how you love this beauty, And walking up the long beach all alone...",,,Long beach,,,,0.8658
Gold Coast,"Gold Coast, Queensland",,Oxford,Danny T,Walking on really NOT flat roads at rainbow. The views are always worlds #rainbowbay #queensland‚Ä¶ https://t.co/OMh9nG4Imx,Queensland,,Rainbow Bay,,,,0
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,,Villain,"It was last night
#surfersparadise #goldcoast #beach #australia‚Ä¶ https://t.co/KhSBbsjFGt",Gold Coast,Suburb,Surfer Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),"Redondo Beach, CA",JiuJitsuProGear,"Gold Coast, Queensland @ Snapper Rocks https://t.co/FlhHH7KfQD",Gold Coast,Suburb,Coolangatta,,,,0
Gold Coast,"Gold Coast, Queensland",Sydney,"Newcastle, Australia",Kirsty,"I really can't complain about the view from our room. Loving it here on the Gold Coast, even if‚Ä¶ https://t.co/dOGLu82VgO",Gold Coast,,,Accommodation,Room,,0.4684
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),"?úT: -6.243112,106.928721",Bayu Cahyo Nugroho,Dinner ?üç¥?üç∑ (at @hardrock) ‚Äî https://t.co/GViAUxOZBY,,,Hardrock,Food and Beverage,Restaurant,Hardrock CafÈ,0
Gold Coast,"Gold Coast, Queensland",,Gold Coast Qld Australia,pamela,"Take me home!
@blog_pamela #GoldCoast #Surfersparadise https://t.co/o5AwhYxvrA",Gold Coast,Suburb,Surfers Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",,"East Region, Singapore",sleeping beauty,They weren't kidding when they said the shops here closes at 5pm...‚Ä¶ https://t.co/Rzqb3igdDG,,,,Retail,,,-0.0762
Gold Coast,"Gold Coast, Queensland",Sydney,"Brisbane, Queensland",Alaisdair,This just made my life better #sushi #japanese #dinner #pacificpines #goldcoast #instafood‚Ä¶ https://t.co/ZnwExuSuxe,Gold Coast,Suburb,Pacific Pines,Food and Beverage,Restaurant,Japanese,0.4404
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast,Lesley Morgan,Lol @emirates as if your service is like this. Ask @belindaofficial what kind of service you give &amp; its very poor!!  https://t.co/7oBxiVeVmR,,,,Transport,Air transport,Airline,0.0131
Gold Coast,"Gold Coast, Queensland",Brisbane,"Queensland, Australia",Michael Cooper,One of the best Acai bowls in town! #sunday #relax #Love #kids https://t.co/WD41zJeZWD,,,,Food and Beverage,,Acai bowl,0.3348
Gold Coast,"Gold Coast, Queensland",Brisbane,Surfers Paradise,Hugh Jesse,#goldcoast #queensland #longexposure #canon #blackandwhite #surfers https://t.co/Aqkwa6srMw,Gold Coast,Suburb,Surfer Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Australia,Phoenix Steen‚Ñ¢,I took this picture for my brother Joel. #Silverchair #HardRock #surfersparadise #Goldcoast‚Ä¶ https://t.co/oSubQ52thI,Gold Coast,Suburb,Surfer Paradise,Food and Beverage,Restaurant,Hard Rock CafÈ,0
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),Tahoe,Jamie Anderson,"Good day mate! ?üíô?üåÄ?üå??üôè

 @leticiabufoni gopro #gopro #seeaustralia @ Sanctuary Cove, Queensland https://t.co/XDrkmpKtfl",Gold Coast,Suburb,Hope Island,,,,0.2463
Gold Coast,"Gold Coast, Queensland",Sydney,"Sydney, Australia",Trish G Tonel,Diokno cousins reunited! What's up Surfers? @ Hilton Surfers Paradise https://t.co/MtP2tl8Fxf,Gold Coast,Suburb,Surfer Paradise,,,,0.2123
Gold Coast,"Gold Coast, Queensland",,"Freeloader@openhouse, Malaysia",ryun Èæç Ê≥¢,Sunrise jog with the white doves @  Surfers Paradise https://t.co/hDMEcf5R6K,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",,"Bruce, Canberra",Capital Chemist UC,Travelling to @APPConfAus via @gclightrail. What to expect at #APP2016,,,,Event,conference,APP Conference,0
Gold Coast,"Gold Coast, Queensland",Sydney,sydney,jared,"whether you're halfway across the world or actually at the festival, the highlights of coachella are always vanessa hudgens' instagrams",California,City,Indio,Leisure,Event and festival,Coachella,0.4939
Gold Coast,"Gold Coast, Queensland",Hanoi,MNL,Polo Bugay,Views #vscocam #vsco @ Mantra Crown Towers https://t.co/WLNDC3xNsC,Gold Coast,Suburb,Surfer Paradise,Accommodation,Hotel and resort,Mantra Crown Towers,0
Gold Coast,"Gold Coast, Queensland",Mumbai,"Mumbai, India",Rashmi Uday Singh,Wow theatre #HORSES  #dogs #snow #musical #dance #tricks  and more @highcountryaos wt erinmoston‚Ä¶ https://t.co/JeUKK4BBWd,,,,,,,0.5859
Gold Coast,"Gold Coast, Queensland",,Korea/Seoul,Lee Joohee," @ Goldcoast, Australia #australia #thisisqueensland #goldcoast #goldcoastlife #suffersparadise‚Ä¶ https://t.co/lqOsIxW5Vi",Australia,Queensland,Gold Coast,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Burleigh Heads, Australia",Matt Crawford,"Big day at #Retail Tech X today #TotalExpoAu (at @VirginAustralia Lounge in Bilinga, QLD) https://t.co/Mv8SE73YWA",Bilinga,,,Event,Exhibition,Retail Tech X,0
Gold Coast,"Gold Coast, Queensland",Brisbane,?Å??Éº?Åô?Å®?Çâ?Ç??ÅÇ,?Åá?Åø?Åã,"Stay high‚úîÔ∏è?üíØ
.
#stayhigh #staypositive @ Surfers Paradise, Queensland https://t.co/dMbRB9Kcpr",Gold Coast,Suburb,Surfer Paradise,,,,0.3185
